"Song"|"Artists"|"Year"|"ArtistRank"|"SongsId"|"ArtistsId"|"albumID"
"I Like It"|"Cardi B & Bad Bunny & J Balvin"|0|101|"03siYI6Rx1NfjjZ29632tj"|"0kTXWRWrCklyKtVkVGnzKr"|"1q758vfCOCLBzUBHoVUrhX"
"Chandelier"|"Sia"|0|101|"2s1sdSqGcKxpPr5lCl7jAV"|"5WUlDfRSoLAfcVSX1WnrxN"|"6FdNvoO5sF4EKwCX9je1MH"
"Take Me To Church"|"Hozier"|0|101|"1CS7Sd1u5tWkstBhpssyjP"|"2FXC3k01G6Gw61bmprjgqS"|"4Pv7m8D82A1Xun7xNCKZjJ"
"Thunder"|"Imagine Dragons"|0|101|"1zB4vmk8tFRmM9UULNzbLB"|"53XhwfbYqKCa1cC15pYq2q"|"33pt9HBdGlAbRGBHQgsZsU"
"Eastside"|"Benny Blanco & Halsey & Khalid"|0|101|"0d2iYfpKoM0QCKvcLCkBao"|"5CiGnKThu5ctn9pBxv7DGa,26VFTg2z8YR0cCuwLzESi2,6LuN9FCkKOj5PcnpouEgny"|"7pkLXlFdpQDfmHujT2AbBK"
"I Dont Care"|"Ed Sheeran & Justin Bieber"|0|101|"2Xqm0jHnkvjzrkkVRInzUB"|"6eUKZXaKkcviH0Ku9w2n3V,1uNFoZAHBGtllmzznpCI3s,2oZcMYiKpjaA2Et5mU3RPP,1gWjcmBsveEYMxOZ0VRi32"|"1alDPx3BdkU4YBHRZ8gGLu"
"Cheerleader"|"OMI"|0|101|"023OVLNzXhX0j7CxswUt6D"|"5MouCg6ta7zAxsfMEbc1uh"|"1QwWTLYn9dntAj7l9FRJwY"
"Moves Like Jagger"|"Maroon 5 & Christina Aguilera"|0|101|"1IWL6h4WtdXxl0BObVU8tg"|"0DvX5hMrYAqgGZoJwBEDif"|"07xfxbrzxmVqgnAQo26lcv"
"Unforgettable"|"French Montana & Swae Lee"|0|101|"3ESURCQuDWDui99W8IFdoN"|"6vXTefBL93Dj5IqAWq6OTv,4iHNK0tOyZPYnBU7nGAgpQ,1zNqQNIdeOUZHb8zbZRFMX"|"4Nkq2k3PFRCKISQRA3W6EE"
"All About That Bass"|"Meghan Trainor"|0|101|"5jE48hhRu8E6zBDPRSkEq7"|"6JL8zeS1NmiOftqZTRgdTz"|"5W98Ab4VvQEuFEE4TIe5fE"
"Stressed Out"|"Twenty One Pilots"|0|101|"3CRDbSIZ4r5MsZ0YwxuEkn"|"3YQKmKGau1PzlVlkL1iodx"|"3cQO7jp5S9qLBoIVtbkSM1"
"Something Just Like This"|"The Chainsmokers & Coldplay"|0|101|"1dNIEtp7AY3oDAKCGg2XkH"|"69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU"|"7IzpJkWQqgz1BTutQvSitX"
"See You Again"|"Wiz Khalifa & Charlie Puth"|0|101|"1MtofpQlRlBBJVFSAabjfz"|"0nhNFtY0BOmeasjTVoPccL"|"4R34H656RK9DEqSKs78mYO"
"Stay With Me"|"Sam Smith"|0|101|"5Nm9ERjJZ5oyfXZTECKmRt"|"2wY79sveU1sp5g7SokKOiI"|"08jWgM4vSkTose4blKBWov"
"Wow."|"Post Malone"|0|101|"7xQAfvXzm3AkraOtGPWIZg"|"246dkjvS1zLTtiykXe5h60"|"4g1ZRSobMefqF6nelkgibi"
"We Found Love"|"Rihanna & Calvin Harris"|0|101|"1AVzhermqEkBuxL3TDaxlG"|"4MGF2Bv7ztglIuREIVMOie"|"3tB6WRH6ZoMxN676nUHCaa"
"Sucker"|"Jonas Brothers"|0|101|"22vgEDb5hykfaTwLuskFGD"|"7gOdHgIoIKoe4i9Tta6qdD"|"1Uf67JAtkVWfdydzFFqNF2"
"Thrift Shop"|"Macklemore & Ryan Lewis"|0|101|"4YMqbFcDIFiCBd02PzUBcM"|"5BcAKTbp20cv7tC5VqPFoC,56xTxG4nQMAs1GW9kvn0uA"|"6XO9dbsH9zhuQgFGH0hUrb"
"Lucid Dreams "|"Juice WRLD"|0|101|"285pBltuF7vW8TeWk8hdRR"|"4MCBfE4596Uoi2O4DtmEMz"|"6tkjU4Umpo79wwkgPMV3nZ"
"Shake It Off"|"Taylor Swift"|0|101|"5xTtaWoae3wi06K5WfVUUH"|"06HL4z0CvFAxyc27GXpf02"|"2QJmrSgbdM35R67eoGQo4j"
"New Rules"|"Dua Lipa"|0|101|"2ekn2ttSfGqwhhate0LSR0"|"6M2wZ9GZgrQXHCFfjv46we"|"01sfgrNbnnPUEyz6GZYlt9"
"Dark Horse"|"Katy Perry"|0|101|"5jrdCoLpJSvHHorevXBATy"|"6jJ0s89eD6GaHleKKya26X,5gCRApTajqwbnHHPbr2Fpi"|"5MQBzs5YlZlE28mD9yUItn"
"7 Rings"|"Ariana Grande"|0|101|"6ocbgoVGwYJhOv1GgI9NsF"|"66CXWjxzNUsdJxJ2JdwvnR"|"2fYhqwDWXjbpjaIJPEfKFw"
"Let Her Go"|"Passenger"|0|101|"0JmiBCpWc1IAc0et7Xm7FL"|"0gadJ2b9A4SKsB1RFkBb66"|"0yWveEIgWbV3oPq4ZA6BAj"
"Stitches"|"Shawn Mendes"|0|101|"6QG15YFOwZGgs4K8sCEWwI"|"7n2wHs1TKAczGzO7Dd2rGr"|"1jgsx38jTGR2DdOh5Q6Ic7"
"Give Me Everything"|"Pitbull & Ne-Yo & Afrojack & Nayer"|0|101|"7rIhVsWn8W82shpRiPDrXc"|"0TnOYISbd1XYRBk9myaseg,21E3waRsmPlU7jZsS13rcj,4D75GcNG95ebPtNvoNVXhz,1ruutHJcECI7cos2n5TqpO"|"1webHYaeCy8j9smqS23sgE"
"The Hills"|"The Weeknd"|0|101|"7fBv7CLKzipRk6EC6TWHOB"|"1Xyo4u8uXC1ZmMpatF05PJ"|"0P3oVJBFOv3TDXlYRhGL7s"
"Feel It Still"|"Portugal & The Man"|0|101|"6QgjcU0zLnzq5OrUoSZ3OK"|"4kI8Ie27vjvonwaB2ePh8T"|"4VzzEviJGYUtAeSsJlI9QB"
"Hello"|"Adele"|0|101|"4sPmO7WMQUAf45kwMOtONw"|"4dpARuHxo51G3z768sgnrY"|"0K4pIOOsfJ9lK8OjrZfXzd"
"Believer"|"Imagine Dragons"|0|101|"0pqnGHJpmpxLKifKRmU6WP"|"53XhwfbYqKCa1cC15pYq2q"|"33pt9HBdGlAbRGBHQgsZsU"
"Starboy"|"The Weeknd & Daft Punk"|0|101|"75FO3b71XsGSsw5rNZBvaJ"|"5sfkoJtNBG2mW5kRnMCLGW"|"0mF5Yr45RAnEUOnq8MePL6"
"Truth Hurts"|"Lizzo"|0|101|"3HWzoMvoF3TQfYg4UPszDq"|"56oDRnqbIiwx4mymNEv7dS"|"2KJjOBX280F3hZZE1xO33O"
"Get Lucky"|"Daft Punk & Pharrell Williams"|0|101|"2Foc5Q5nqNiosCNqttzHof"|"4tZwfgrHOc3mvqYlEYSvVi,2RdwBSPQiwcmiDo9kixcl8,3yDIp0kaq9EFKe07X1X2rz"|"2ePFIvZKMe8zefATp9ofFA"
"Talk"|"Khalid"|0|101|"6TqXcAFInzjp0bODyvrWEq"|"6LuN9FCkKOj5PcnpouEgny,6nS5roXSAGhTGr34W6n7Et"|"6KT8x5oqZJl9CcnM66hddo"
"Thats What I Like"|"Bruno Mars"|0|101|"0KKkJNfGyhkQ5aFogxQAPU"|"0du5cEVh5yTK9QJze8zA0C"|"4PgleR09JVnm3zY1fW3XBA"
